background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
11481,0.2580160938631236,119,120,interfered,narrow,0.010364950788258862,0.6288538260336516,7367296713.801158,0.03428395700542097,0.4444444444444444,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.002752538059447579,0.0016162952975118927,0.01,10.0,120,input_specific_validation_background
3577,0.2580160938631236,32,50,interfered,narrow,0.008946044171093095,0.6288538260336516,7367296713.801158,0.03428395700542097,0.42735042735042733,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.002752538059447579,0.0016162952975118927,0.01,10.0,40,input_specific_validation_background
11481,0.2580160938631236,16,100,interfered,narrow,0.0013936068286734605,0.6288538260336516,7367296713.801158,0.03428395700542097,0.37037037037037035,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.002752538059447579,0.0016162952975118927,0.001,10.0,120,input_specific_validation_background
3577,0.2580160938631236,6,38,interfered,narrow,0.0016773832820799553,0.6288538260336516,7367296713.801158,0.03428395700542097,0.3247863247863248,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.002752538059447579,0.0016162952975118927,0.001,10.0,40,input_specific_validation_background
10839,0.26944009888610987,110,156,interfered,default,0.010148537687978595,0.6288538260336516,7367296713.801158,0.036287543158699975,0.5777777777777777,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.0022938460611935125,0.0015409949137149413,0.01,10.0,120,input_specific_validation_background
3326,0.26944009888610987,31,55,interfered,default,0.009320505111244739,0.6288538260336516,7367296713.801158,0.036287543158699975,0.4700854700854701,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.0022938460611935125,0.0015409949137149413,0.01,10.0,40,input_specific_validation_background
10839,0.26944009888610987,16,129,interfered,default,0.0014761509364332502,0.6288538260336516,7367296713.801158,0.036287543158699975,0.4777777777777778,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.0022938460611935125,0.0015409949137149413,0.001,10.0,120,input_specific_validation_background
3326,0.26944009888610987,6,41,interfered,default,0.0018039687312086591,0.6288538260336516,7367296713.801158,0.036287543158699975,0.3504273504273504,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.0022938460611935125,0.0015409949137149413,0.001,10.0,40,input_specific_validation_background
10839,0.26944009888610987,110,156,interfered,default,0.010148537687978595,0.6288538260336516,7367296713.801158,0.036287543158699975,0.5777777777777777,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.0022938460611935125,0.0015409949137149413,0.01,10.0,120,input_specific_validation_background
3326,0.26944009888610987,31,55,interfered,default,0.009320505111244739,0.6288538260336516,7367296713.801158,0.036287543158699975,0.4700854700854701,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.0022938460611935125,0.0015409949137149413,0.01,10.0,40,input_specific_validation_background
10839,0.26944009888610987,16,129,interfered,default,0.0014761509364332502,0.6288538260336516,7367296713.801158,0.036287543158699975,0.4777777777777778,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.0022938460611935125,0.0015409949137149413,0.001,10.0,120,input_specific_validation_background
3326,0.26944009888610987,6,41,interfered,default,0.0018039687312086591,0.6288538260336516,7367296713.801158,0.036287543158699975,0.3504273504273504,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.0022938460611935125,0.0015409949137149413,0.001,10.0,40,input_specific_validation_background
11481,-0.030272075040550902,123,126,mse_output,narrow,0.010713352495427228,0.05460026126283479,3346019477.975049,0.00224252033864758,0.4666666666666667,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.04239975208941311,0.015284627835293121,0.01,10.0,120,input_specific_validation_background
3577,-0.030272075040550902,41,52,mse_output,narrow,0.011462119094213028,0.05460026126283479,3346019477.975049,0.00224252033864758,0.4444444444444444,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.04239975208941311,0.015284627835293121,0.01,10.0,40,input_specific_validation_background
